arrival_1,arrival_2,arrival_3,arrival_4,peak_1,peak_2,peak_3,peak_4,peak_mag1,peak_mag2,peak_mag3,peak_mag4,coord_x,coord_z
983443,983440,983495,983490,983638,983832,983999,983782,0.057427608,0.011772265,0.008377321,0.013794356,-1557.745911,-2497.469116
990206,990176,990192,990291,990284,990267,990445,990470,0.019696435,0.009832483,0.008758531,0.016178615,-920.8883055,-2343.351197
996655,996609,996644,996658,997259,996901,997046,997247,0.010819786,0.01292965,0.010868065,0.007920507,-460.0800785,-1901.397767
1003707,1003416,1003419,1003462,1003744,1004045,1003781,1003703,0.003674488,0.003380932,0.016431116,0.011357528,190.6631315,-1805.066895
1010017,1009905,1009906,1009991,1010394,1010053,1010324,1010348,0.003693036,0.005519067,0.014063659,0.008837747,656.7842715,-1377.905884
1016895,1016814,1016792,1016847,1016936,1016846,1017115,1017988,0.003088936,0.004212822,0.016528382,0.01679183,1295.046875,-1257.581665
1023591,1023489,1023447,1023522,1023720,1023987,1023636,1023701,0.005635223,0.008444207,0.16374075,0.021184119,1786.732361,-848.8781435
1030456,1030346,1030320,1030409,1030547,1030394,1030439,1030749,0.004571925,0.005819374,0.279532921,0.008601105,2447.186402,-795.569641
1036986,1036932,1036824,1036925,1037095,1037025,1038012,1037198,0.003324089,0.005400289,0.311388062,0.03005156,2903.992798,-343.2392425
1063553,1063408,1063145,1063366,1063650,1064277,1063442,1063542,0.002757816,0.005440913,0.086234791,0.017860098,3084.102783,-552.931
1063553,1063408,1063333,1063366,1063650,1064277,1063442,1063542,0.002757816,0.005440913,0.086234791,0.017860098,3064.813477,-568.75766
1070694,1070569,1070196,1070575,1070804,1071296,1070669,1070827,0.003575586,0.006501562,0.145238245,0.013258557,2493.073364,-704.4049685
1077492,1077405,1077363,1077431,1077707,1077927,1077716,1077771,0.005172772,0.004975088,0.039650792,0.023618446,1948.489807,-1079.688294
1084014,1083957,1083925,1083924,1084016,1084602,1084522,1084103,0.003312239,0.004175913,0.021961209,0.018199617,1295.206543,-1082.074951
1090541,1090488,1090470,1090503,1091000,1090899,1090713,1090775,0.009256538,0.011207774,0.017583256,0.019969193,785.5291445,-1479.349854
1097232,1097160,1097164,1097217,1097289,1097233,1097595,1097403,0.004859282,0.005583598,0.007239544,0.006890838,142.267773,-1579.969056
1103758,1103702,1103706,1103750,1104205,1104066,1103895,1103795,0.014223901,0.01230996,0.00751344,0.01103987,-368.782272,-1959.295411
1110378,1110311,1110357,1110397,1110598,1110348,1110538,1110442,0.009104732,0.007936437,0.006986616,0.008064982,-1005.836731,-2066.266358
1116737,1116763,1116806,1116778,1116902,1117009,1116942,1116990,0.069340201,0.011073732,0.007163193,0.010251922,-1479.177308,-2504.545777
1123453,1123470,1123508,1123519,1123673,1123808,1124070,1123583,0.059491707,0.009548098,0.002707543,0.007261377,-2114.734497,-2586.660889
1130133,1130173,1130248,1130367,1130269,1130345,1131143,1130393,0.180883746,0.051238139,0.00906367,0.007187187,-2566.678589,-3065.966553
1136677,1136687,1136800,1137025,1137658,1137038,1136930,1137694,0.107179104,0.024392402,0.005614551,0.004701071,-3023.227539,-3030.175171
1158055,1157696,1158155,1158146,1158129,1158264,1158223,1158170,0.080588477,0.031973822,0.008272867,0.005518389,-2611.812744,-2982.608277
1163914,1164571,1164985,1165012,1166777,1166920,1165017,1165731,0.074407777,0.007508681,0.002606946,0.00287348,-1993.368714,-2937.168701
1170473,1170890,1170938,1170925,1171084,1171250,1171173,1171064,0.033833981,0.008284154,0.006930869,0.010043678,-1501.334534,-2569.916748
1177480,1177464,1177490,1177504,1177917,1177548,1177707,1177724,0.021377452,0.008989104,0.018640381,0.013781589,-838.963623,-2462.112305
1184027,1183975,1184015,1184027,1184302,1184134,1184446,1184397,0.007184071,0.008657854,0.013499233,0.010170685,-323.4878385,-2056.969544
1190665,1190455,1190463,1190490,1190754,1190878,1190927,1190869,0.004276256,0.004937875,0.02456471,0.011159123,331.7207335,-1884.237915
1197026,1196931,1196916,1196972,1197236,1197472,1197240,1197335,0.003451413,0.004465014,0.021184434,0.007102335,829.173065,-1448.36023
1203670,1203649,1203595,1203626,1204706,1203762,1203906,1203811,0.003285769,0.004339543,0.053009823,0.043441846,1492.723694,-1321.321045
1210183,1210071,1210038,1210084,1210463,1210724,1210185,1210296,0.003614184,0.005706761,0.164796495,0.018245203,1977.018372,-873.9201355
1216786,1216672,1216627,1216662,1216822,1216755,1216747,1217230,0.004117004,0.005309704,0.26688006,0.012347719,2631.327515,-806.808044
1223281,1223212,1223130,1223175,1223368,1223256,1223214,1223363,0.00555783,0.00731698,0.208228847,0.034306108,3071.900635,-351.719208
1245169,1244514,1244251,1244474,1245173,1245934,1244354,1244496,0.001918701,0.002366849,0.067935216,0.006542645,2923.060425,-566.46759
1251141,1251048,1250553,1251028,1251230,1251199,1251093,1251334,0.004724881,0.008040012,0.029481747,0.023390907,2463.545654,-1035.020325
1257712,1257621,1257580,1257617,1257975,1258088,1257900,1257966,0.004048796,0.006320142,0.048637696,0.046639893,1784.527954,-1166.135743
1263914,1263878,1263857,1263873,1264279,1263954,1264179,1264133,0.00954045,0.010789671,0.026813086,0.02107695,1746.646424,-1192.71344
1270573,1270248,1270501,1270531,1270701,1270678,1270895,1270893,0.006117559,0.008140715,0.020132616,0.011180807,569.130768,-1626.580933
1276952,1276961,1276955,1276983,1277282,1277110,1277419,1277144,0.010069582,0.020310777,0.013406034,0.01372579,9.1479345,-2002.765992
1283670,1283626,1283641,1283684,1283912,1283955,1283923,1283853,0.011828873,0.014751973,0.016198078,0.009013147,-684.531006,-2018.268555
1289984,1289997,1290017,1290050,1290136,1290223,1290254,1290210,0.057034584,0.014117701,0.010663274,0.013520801,-1227.562378,-2415.678833
1296550,1296536,1296594,1296750,1296654,1296837,1296867,1296953,0.058010213,0.014135404,0.00900954,0.007074528,-1900.415039,-2494.220703
1303341,1303359,1303412,1303449,1303386,1303566,1303563,1303524,0.38376713,0.044843647,0.013989843,0.008988968,-2408.696167,-2958.395142
1309735,1309769,1309844,1307172,1310466,1309984,1309903,1310817,0.057992697,0.019075147,0.002612666,0.002727049,-2841.375489,-2989.018067
1315199,1315233,1315336,1315728,1315694,1315829,1315804,1315754,0.063582406,0.021116769,0.006292237,0.005368923,-3021.911621,-3161.696777
1321141,1321349,1321436,1321450,1321966,1321546,1321668,1321695,0.152582724,0.026464263,0.009442068,0.01143303,-2925.394898,-2608.694092
1328249,1328226,1328302,1328319,1328334,1328432,1328680,1328473,0.062010304,0.091049955,0.010509559,0.01071136,-3030.898438,-1913.807129
1334534,1334495,1334562,1334598,1335228,1334618,1334697,1334771,0.075047509,0.04552385,0.009819087,0.008413759,-2670.764649,-1291.679322
1340415,1340930,1341047,1341091,1341767,1341539,1341216,1341096,0.008608142,0.300885404,0.005190396,0.004926847,-2486.55481,-653.2388
1347324,1347099,1347275,1347338,1347526,1347991,1347484,1347547,0.011839996,0.035016088,0.006028785,0.006653677,-1787.661194,-567.6026915
1353849,1353740,1353762,1353835,1354601,1353936,1354185,1353912,0.00590817,0.026639673,0.00831358,0.010655565,-1108.094788,-366.8973235
1360481,1360365,1360406,1360461,1360686,1360659,1360897,1360530,0.005538695,0.014588026,0.011903684,0.0114451,-410.1796415,-488.4609375
1366837,1366710,1366709,1366748,1367192,1366856,1366890,1366967,0.006471877,0.009191005,0.031148014,0.012779947,254.4651415,-307.097412
1373442,1373354,1373331,1373392,1373591,1373404,1373724,1373597,0.004178668,0.006934338,0.062897839,0.018595524,908.118469,-509.9916685
1379693,1379579,1379543,1379608,1380130,1380282,1380341,1379821,0.004178059,0.004547012,0.063296471,0.010703421,1567.167725,-289.5245055
1385242,1385123,1385028,1385092,1387095,1386997,1387003,1387249,0.003190629,0.004087223,0.033804206,0.008715252,2212.326294,-449.317657
1392373,1392263,1392219,1392279,1392882,1393023,1392829,1393245,0.00321608,0.004605072,0.412228704,0.02399096,2235.226563,-440.1775055
1400686,1398571,1398184,1398405,1400687,1399951,1399082,1398510,0.001815698,0.002219339,0.061934221,0.00409898,3070.36377,-725.455902
1405396,1405337,1404524,1405269,1405794,1405617,1405388,1405457,0.003902776,0.006795151,0.040555592,0.044699638,3376.386475,-1334.133606
1412420,1412127,1411959,1411954,1412429,1412305,1412092,1412096,0.002532414,0.004454931,0.030457793,0.052556077,3289.244629,-1988.510987
1418398,1418379,1418353,1418295,1418548,1418729,1418569,1418342,0.004823704,0.004676485,0.03091965,0.249821532,3250.834961,-2588.078369
1424890,1424857,1424855,1424807,1425630,1425173,1424939,1425209,0.006575716,0.005049556,0.012859674,0.205856366,2609.422608,-2740.502808
1431500,1431479,1431486,1431477,1431941,1431643,1431855,1431519,0.011852497,0.00932197,0.028689801,0.124130925,1961.000122,-2924.920654
1438032,1437984,1438005,1437980,1438332,1438046,1438336,1438104,0.010499047,0.004963144,0.01215591,0.04545606,1303.991577,-2681.416382
1444298,1444281,1444279,1444286,1444539,1444529,1444748,1444414,0.027029159,0.007613971,0.024689563,0.024795749,660.7663575,-2863.209351
1450853,1450834,1450824,1450843,1451125,1451166,1451233,1451145,0.021506883,0.006677058,0.009154735,0.019901174,30.6228255,-2662.614746
1457249,1457274,1457290,1457285,1457519,1457651,1457715,1457550,0.027137767,0.006805031,0.011952318,0.008101211,-607.18866,-2826.16272
1463859,1463901,1463929,1463905,1464060,1464452,1464011,1464172,0.112965767,0.015622115,0.00823402,0.009002933,-1258.99176,-2686.447022
1470219,1470214,1470259,1467761,1470990,1470521,1470401,1470338,0.069700378,0.009466242,0.008992485,0.002736546,-1889.921387,-2928.983154
1476838,1476838,1476921,1476908,1476913,1477247,1477112,1477161,0.154728816,0.022247888,0.01185505,0.004600911,-2456.355225,-2676.981202
1482499,1483223,1483333,1483494,1483329,1484100,1483538,1484276,0.052417372,0.029740431,0.005527244,0.003638879,-2946.819825,-2302.541016
1489131,1489112,1490357,1490424,1490985,1490279,1490975,1490814,0.011966764,0.041318612,0.002276742,0.00292319,-2892.80957,-1620.42157
1496374,1496335,1496447,1496462,1497293,1496446,1497315,1497463,0.028430267,0.292333576,0.009655782,0.00930129,-2955.665039,-989.528107
1502850,1502762,1503049,1502923,1503377,1502908,1503401,1503087,0.005549682,0.08855781,0.003655113,0.004497632,-2355.747437,-766.5948485
1509462,1509359,1509414,1509452,1509642,1509453,1509593,1509664,0.012608918,0.057535621,0.010538821,0.006687454,-1741.084961,-478.445038
1515682,1515641,1515638,1515778,1516076,1517533,1516197,1515805,0.004147798,0.009594409,0.007832516,0.009841662,-1059.41626,-674.7345885
