arrival_1,arrival_2,arrival_3,arrival_4,peak_1,peak_2,peak_3,peak_4,peak_mag1,peak_mag2,peak_mag3,peak_mag4,coord_x,coord_z
530860,530808,530773,530867,530924,530892,530882,530895,0.003384281,0.002805036,0.008011871,0.010246382,-160.230896,-1684.527405
532973,533014,533645,533193,533841,533014,533685,533218,0.001654354,0.001545293,0.00121397,0.001937439,305.196991,-1326.298828
545140,545103,545045,545058,545228,545258,545217,545185,0.004048865,0.005704222,0.153254279,0.009612649,893.3175965,-1230.490662
559101,559006,558988,558983,559126,559206,559050,559171,0.004040687,0.006469242,0.1169341,0.009202217,1996.916443,-826.260925
581745,581586,581510,581565,581855,581970,581522,581805,0.001782019,0.003189994,0.041922709,0.006145352,3436.201172,169.4784315
598472,598377,598306,598339,598686,598562,598370,598552,0.002231307,0.003525311,0.09299652,0.01182264,3560.858277,-4.04969
605295,605199,605168,605183,605332,605288,605240,605464,0.004406572,0.005655156,0.112223406,0.016516454,3121.07959,-221.6802445
612088,611986,612004,612006,612172,612104,612133,612402,0.003381493,0.003139649,0.02050451,0.014167698,2628.052735,-590.486328
619109,619106,619117,619083,619240,619144,619208,619164,0.00289575,0.004482399,0.063025672,0.009242698,2041.511902,-647.292053
626100,626025,625999,626056,626102,626033,626087,626105,0.00200683,0.003569059,0.009152461,0.003512037,1558.099854,-1004.547119
632869,632865,628225,632928,633161,632955,628413,633168,0.006518384,0.006379909,0.008972206,0.015286203,929.560089,-1072.914673
645748,646776,646782,645690,647113,647136,647069,646907,0.010850443,0.015889107,0.014385142,0.014807172,-145.7999195,-1573.440857
653603,653579,653595,653623,653800,653821,653761,653708,0.009522501,0.019600893,0.004984206,0.004592398,-618.1660765,-1986.3219
660386,660384,660409,660409,660533,660806,660596,660478,0.044158828,0.012572435,0.005109526,0.009586143,-1244.110901,-2053.692566
662395,662464,662938,662599,662409,662473,662980,662833,0.002399137,0.002540975,0.001154742,0.001853698,-1720.644532,-2397.219116
674368,674377,674452,674425,674452,674571,674574,674540,0.191928521,0.03250549,0.006289203,0.004177574,-2291.187012,-2472.79773
681288,681326,681350,681379,681582,681485,681471,681416,0.052872113,0.021655237,0.005955107,0.002670224,-2628.028076,-2928.089112
701773,702086,702624,703691,702521,702094,702663,703907,0.02653786,0.001919159,0.001840248,0.002035617,-3184.840942,-3286.706421
716088,716099,716146,716167,716175,716314,716261,716231,0.137526503,0.048669875,0.011245685,0.015688315,-3053.837647,-3443.597535
726297,730915,730859,730883,726322,731141,731105,731018,0.081849982,0.042296639,0.015041368,0.011826245,-2126.501831,-2656.543335
737647,737605,737663,737673,737840,737836,737917,737809,0.017469595,0.022276661,0.011923756,0.013570832,-1760.403076,-2154.62854
744178,744121,744132,744165,744533,744413,744639,744223,0.007295262,0.011964821,0.010878001,0.006162382,-1158.203736,-1939.215699
757894,757844,757820,757858,758108,758111,758061,758206,0.004356703,0.006632085,0.034111193,0.009709875,-212.133415,-1286.604859
771367,771221,771204,771251,771887,771489,771748,771734,0.002977063,0.003801249,0.032996939,0.009046004,880.4582825,-925.384369
778092,778050,777983,777996,778123,778204,778102,778292,0.002291502,0.002967502,0.049481274,0.004936754,1339.055665,-575.1616215
784547,784792,784913,784516,785235,785342,784976,785340,0.0039978,0.00399423,0.06038152,0.014181288,1933.513184,-582.7739865
798794,798627,798530,798666,798935,798634,798587,798713,0.001834767,0.002338604,0.067620734,0.004211067,2996.989258,-387.1226045
828659,828604,828540,828581,829400,828982,828615,828772,0.003208956,0.004617273,0.096249891,0.019978951,2987.537354,-309.9839785
842318,838425,838112,842203,842924,842583,838134,843003,0.002839793,0.004416521,0.045880095,0.009631988,2389.048584,-156.442398
848184,848784,848861,848761,849101,849318,849074,849213,0.004108334,0.015434991,0.039911964,0.009692205,1839.065308,-361.496155
855374,855303,855305,855291,856012,856039,855556,855730,0.002941631,0.008509783,0.015414134,0.007288508,1237.670472,-202.8170855
862132,862082,862117,862110,862198,862269,862327,862206,0.008177995,0.033521634,0.017253866,0.016374931,617.0203555,-359.578491
868736,868638,868626,868645,869137,869320,868769,868871,0.005170941,0.02455524,0.005254497,0.006932053,8.81863,-207.0574645
875410,875376,875440,875402,875573,875506,875569,875546,0.007553492,0.058598563,0.010519239,0.011680321,-609.1392215,-352.79393
881991,881944,881978,882019,882241,882036,882100,882106,0.015426657,0.103273297,0.010434748,0.00929141,-1221.53363,-163.8773955
888545,888463,888500,888559,889032,888967,888609,888678,0.008415161,0.14428762,0.005256756,0.003097537,-1849.471009,-315.8144685
895295,895270,895307,895331,895484,895295,895611,895478,0.018537443,0.217002588,0.010899969,0.007640439,-2436.246094,-122.628166
920561,919492,920059,920622,920928,920614,920675,920727,0.01030717,0.051118424,0.004252716,0.003936263,-3318.421265,-400.5242155
927621,927556,927549,927568,927937,927744,927806,927804,0.017317768,0.064891401,0.009641559,0.006727979,-2771.469116,-662.089325
934552,929748,930023,934589,934684,929782,934630,934667,0.005795427,0.071347964,0.004950593,0.008871599,-2149.359375,-601.790283
941299,937345,941212,941264,941545,941476,941546,941374,0.005687088,0.015340355,0.011149585,0.006784675,-1537.259949,-771.1576845
948020,943589,947938,947950,948335,948213,948113,948024,0.006029189,0.017940554,0.007930216,0.006943245,-917.4902035,-645.0392455
954655,954660,954598,954617,954750,954862,954842,954906,0.005644418,0.012249127,0.035063645,0.008335373,-319.0908205,-843.735474
961514,961411,961372,961431,961664,961646,961632,961488,0.003766212,0.006044168,0.070795628,0.009436004,297.7896725,-645.485077
967954,968101,967796,967829,968352,968560,968672,968215,0.003793304,0.004049223,0.067626012,0.012246158,933.9902955,-792.126831
974725,974768,974618,974631,974756,974975,974766,974976,0.003239189,0.004230281,0.132694301,0.013869301,1541.910157,-622.0979615
981411,981321,981269,981306,981624,981771,981356,981581,0.005639938,0.004979901,0.21952952,0.020243254,2150.914917,-743.3876345
985592,985536,988254,988265,986068,986162,988313,988417,0.006322009,0.004370561,0.180371912,0.012547725,2761.231079,-531.5706635
993933,993926,993771,993793,994635,994518,994445,994500,0.003136648,0.003774061,0.048194501,0.00530944,3277.456177,-781.365753
1009752,1009663,1005239,1009621,1009814,1009672,1009809,1009949,0.003084032,0.003550643,0.025101166,0.015283827,3328.138916,-1107.36084
1016504,1016417,1016494,1016424,1016733,1016446,1016684,1016677,0.002966464,0.00380948,0.022769474,0.020060001,2817.866333,-1369.881897
1022831,1022813,1022773,1022779,1022991,1022877,1023053,1023214,0.004050935,0.005750506,0.02451779,0.026467175,2195.08545,-1249.23053
1029627,1029596,1029582,1029598,1029832,1029831,1029913,1029735,0.005346411,0.006210076,0.023159521,0.010709304,1601.175232,-1479.153199
1036335,1036286,1032562,1036310,1036742,1036579,1036367,1036610,0.007252858,0.003597903,0.007955037,0.010946618,983.7601015,-1385.03009
1043179,1043161,1043176,1043172,1043270,1043321,1043382,1043382,0.005282748,0.009044591,0.009001508,0.008774907,387.5341945,-1606.40033
1049801,1049797,1049792,1049788,1050379,1050073,1050131,1050008,0.012501299,0.012492901,0.009011282,0.012788714,-207.7499235,-1419.270813
1056348,1056287,1056366,1056417,1056773,1056837,1056514,1056668,0.012339976,0.013227045,0.004410646,0.003218433,-812.911163,-1565.559387
1063150,1063123,1063146,1063153,1063389,1063352,1063540,1063258,0.02472195,0.028165561,0.005154721,0.014945837,-1405.660095,-1393.008728
1076990,1076968,1077004,1077023,1077289,1077046,1077315,1077197,0.040798779,0.058962004,0.006733758,0.00376899,-2628.010254,-1291.760682
1079741,1084034,1079403,1084088,1084089,1084088,1079484,1084108,0.00886389,0.054884948,0.001351938,0.002183459,-3103.83313,-1550.519104
1091964,1091941,1091987,1092011,1092101,1092245,1092077,1092322,0.039719116,0.022434948,0.005727029,0.003769978,-3511.443848,-1630.81958
1105674,1105667,1105683,1105713,1105839,1105851,1105880,1105817,0.016979485,0.014218455,0.007982439,0.010401026,-2482.558838,-2030.92511
1112510,1112494,1112481,1112512,1112618,1112711,1112745,1112611,0.023056131,0.018175729,0.007677401,0.013603172,-1886.884522,-1873.572144
1119311,1119156,1119160,1119185,1119475,1119459,1119346,1119403,0.009121565,0.009339318,0.011306145,0.009095139,-1271.507141,-2063.1344
1125925,1122241,1125917,1125941,1126074,1126062,1126218,1126067,0.004337224,0.007055213,0.006700495,0.006640796,-683.856262,-1938.345826
1132755,1132714,1132696,1132714,1133084,1132807,1133131,1132848,0.003804743,0.006198567,0.028729668,0.012082218,-70.898146,-2062.794312
1139566,1135802,1139561,1139528,1139675,1139699,1139782,1139723,0.003242546,0.0036579,0.013743337,0.007819617,532.845413,-1893.871277
1146305,1146275,1146269,1146226,1146511,1146597,1146650,1146541,0.005271422,0.007291163,0.043164423,0.045228998,1150.263489,-2035.57843
1153004,1152890,1152881,1152841,1153287,1153017,1153210,1153247,0.002770381,0.003693153,0.025979854,0.021341323,1747.427979,-1881.930176
1159078,1159761,1159755,1159717,1159980,1160123,1159918,1159906,0.002700675,0.003050498,0.09823354,0.024674682,2328.672241,-2012.031006
1173583,1173372,1173191,1173144,1173630,1173852,1173638,1173592,0.00220376,0.002882425,0.020106602,0.028478972,3391.743775,-1942.130799
1181118,1181103,1180624,1181027,1181213,1181304,1181230,1181080,0.004181664,0.004470408,0.076190518,0.221770812,3712.527832,-2049.202881
1187878,1187814,1187773,1186358,1188021,1188248,1188427,1188414,0.002808848,0.003303921,0.009656649,0.044870446,3378.261719,-2415.436646
1194067,1194695,1194667,1194702,1194875,1194894,1194825,1194777,0.00393702,0.004280844,0.01340396,0.059181247,2780.587158,-2630.501953
1201319,1201296,1201281,1201246,1201817,1201392,1201994,1201506,0.006755892,0.004747009,0.01242167,0.045275822,2135.561158,-2436.819458
1208226,1208210,1208275,1208189,1208422,1208249,1208362,1208426,0.011149539,0.003887755,0.010618067,0.013639022,1503.328736,-2610.476441
1214694,1214725,1214724,1214717,1214983,1214942,1215346,1215022,0.022623862,0.006308646,0.009867887,0.025747683,841.8254395,-2469.502198
1221674,1221667,1217444,1216965,1221782,1221691,1221738,1217046,0.009510609,0.002021643,0.00430163,0.005440948,226.217308,-2616.885743
1228311,1228356,1228366,1228316,1228530,1228455,1228864,1228751,0.023721929,0.005642552,0.011488024,0.014990068,-440.4954835,-2436.740723
1235086,1235088,1235083,1235101,1235205,1235422,1235437,1235208,0.058086759,0.010837108,0.008201902,0.00721809,-1050.930481,-2591.40625
1241703,1241715,1241732,1241706,1241843,1242111,1241929,1241814,0.049742163,0.006877856,0.007061801,0.007598384,-1683.108948,-2404.127198
1248389,1248390,1248439,1248426,1248544,1248569,1248686,1248783,0.087059506,0.024563192,0.007618534,0.004686576,-2288.289917,-2534.56604
1254769,1254739,1254762,1254802,1255518,1254827,1254879,1255076,0.09660301,0.006783085,0.003361656,0.003220321,-2873.048462,-2359.462403
1268326,1268366,1268390,1268402,1268977,1268598,1268569,1268492,0.120270402,0.013130534,0.004063826,0.004132819,-3451.242188,-2516.384033
1278216,1282359,1282365,1282383,1282452,1282820,1282541,1282425,0.045353765,0.00742032,0.007528789,0.007433072,-2466.690186,-3014.430908
1289413,1289390,1289327,1289377,1289463,1289547,1289531,1289428,0.033362461,0.003102554,0.007546817,0.005923983,-1851.126953,-2867.036866
1295820,1295826,1295799,1295801,1296041,1295915,1296010,1295881,0.0061278,0.004199474,0.006922164,0.006437259,-1231.391907,-2952.811524
1302563,1302534,1302567,1302505,1302809,1302662,1302702,1302646,0.015163227,0.003464403,0.005434657,0.011439476,-631.331116,-2755.536988
1309188,1309191,1309205,1309134,1309357,1309511,1309601,1309420,0.012515323,0.008531664,0.020613071,0.03945591,-35.402578,-2942.866822
1311720,1315703,1315663,1315664,1316103,1315909,1316001,1315928,0.005930564,0.005191473,0.011581397,0.021515522,569.7846375,-2813.216675
1322333,1322339,1322291,1322251,1322560,1322363,1322603,1322356,0.004448302,0.007264951,0.015062862,0.074130872,1177.991699,-2984.83313
1329208,1329179,1329154,1329114,1329371,1329237,1329302,1329163,0.004289293,0.004896718,0.013817868,0.04822398,1786.664795,-2810.586426
1336178,1336133,1336126,1336075,1336355,1336348,1336283,1336134,0.003692102,0.005793988,0.028705645,0.172476628,2394.05249,-3003.388794
1342583,1342521,1342530,1342454,1342745,1342581,1342690,1342490,0.003032252,0.004236543,0.026789763,0.200759504,2974.974976,-2856.332764
1364345,1364301,1364283,1364325,1364843,1364649,1364551,1364621,0.004084497,0.005913231,0.018785224,0.053143426,2561.899658,-2085.638794
1370945,1370830,1370882,1370837,1371160,1370857,1371434,1371381,0.002397116,0.002416752,0.014057692,0.013223254,1937.226318,-2011.478211
1377527,1377471,1377502,1377491,1377992,1377890,1377887,1377626,0.008045038,0.012394482,0.030117243,0.015315696,1421.244385,-1718.179199
1384173,1384145,1384160,1384169,1384392,1384559,1384485,1384291,0.003949045,0.006109272,0.024102968,0.010204324,807.224945,-1678.757691
1390812,1390793,1390803,1390840,1391060,1391273,1391197,1390908,0.009836682,0.014305136,0.01292418,0.00706793,294.2927705,-1327.124207
1397657,1397604,1397616,1397703,1397960,1397936,1397675,1397907,0.005191227,0.012279683,0.004544767,0.005630082,-309.884903,-1332.390869
1404136,1404095,1404133,1404183,1404329,1404826,1404472,1404335,0.009007442,0.054684443,0.006538969,0.009782214,-833.8143615,-990.195587
1417488,1417423,1417461,1417518,1417737,1418018,1417720,1417561,0.025805875,0.244156856,0.007319681,0.004783336,-1967.549134,-640.958771
1424749,1424636,1424690,1424724,1424775,1424674,1424774,1424781,0.00554696,0.168149602,0.004406626,0.006603103,-2582.809082,-595.1860655
1431456,1431315,1431678,1431493,1431727,1431736,1431747,1431496,0.004625421,0.084540752,0.002366967,0.001963469,-3027.929566,-213.7873
